Player,Age,Team,Position,Games,Games Started,Minutes Played,Field Goals,Field Goals Attempts,FG%,3-Point FG,3-Point FG Attempts,3P%,2-Point FG,2-Point FG Attempts,2P%,Effective FG%,Free Throws,Free Throws Attempts,Free Throw%,Offensive Rebounds,Defensive Rebounds,TRB,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Sam Hauser,27.0,BOS,PF,21.0,2.0,22.4,3.1,7.2,0.437,2.2,6.0,0.373,0.9,1.2,0.76,0.593,0.1,0.1,1.0,0.9,2.7,3.5,1.0,0.9,0.2,0.4,1.2,8.6
Ziaire Williams,23.0,BRK,SF,21.0,7.0,21.9,3.0,7.6,0.403,0.9,3.1,0.273,2.2,4.4,0.495,0.459,1.7,2.1,0.795,1.0,3.3,4.4,1.1,1.0,0.3,0.9,2.7,8.6
Mike Conley,37.0,MIN,PG,22.0,22.0,25.4,2.6,7.5,0.343,1.9,5.2,0.365,0.7,2.3,0.294,0.47,1.4,1.5,0.909,0.5,2.4,3.0,4.6,1.5,0.3,1.4,1.6,8.5
Donte DiVincenzo,28.0,MIN,SG,26.0,2.0,24.8,3.0,8.2,0.362,2.1,6.4,0.325,0.9,1.8,0.489,0.488,0.5,0.7,0.778,0.3,2.8,3.2,3.4,1.2,0.2,1.7,1.5,8.5
Jake LaRavia,23.0,MEM,PF,28.0,0.0,22.9,3.0,6.0,0.494,0.9,2.2,0.419,2.0,3.8,0.538,0.571,1.6,2.3,0.719,1.4,3.2,4.5,3.4,0.9,0.6,1.5,2.2,8.5
Jaylen Nowell,25.0,NOP,SG,8.0,0.0,21.0,3.3,9.1,0.356,1.0,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4
Spencer Dinwiddie,31.0,DAL,PG,25.0,1.0,22.0,2.4,6.2,0.394,1.3,3.6,0.352,1.2,2.6,0.453,0.497,2.1,2.5,0.855,0.2,1.7,1.9,3.2,0.8,0.3,0.8,1.5,8.3
Trendon Watford,24.0,BRK,PF,13.0,0.0,16.1,2.7,6.1,0.443,0.6,2.0,0.308,2.1,4.1,0.509,0.494,2.3,2.7,0.857,0.3,2.5,2.8,1.2,0.4,0.3,1.2,2.3,8.3
Robert Williams,27.0,POR,C,9.0,1.0,17.6,3.4,4.7,0.738,0.1,0.2,0.5,3.3,4.4,0.75,0.75,1.3,1.4,0.923,1.9,3.6,5.4,1.3,0.9,1.4,0.9,1.0,8.3
Kentavious Caldwell-Pope,31.0,ORL,SG,28.0,28.0,30.4,2.8,7.1,0.395,1.4,4.7,0.303,1.4,2.4,0.574,0.495,1.1,1.3,0.886,0.4,1.6,2.0,1.9,1.6,0.6,0.8,2.1,8.2
